text,term,polarity
"We didn't even see a menu, as our waiter described both the specials and the main dishes.",specials,neutral
The location and ambience is Ok but the food is what makes up for it.,location,neutral
The location and ambience is Ok but the food is what makes up for it.,ambience,neutral
The location and ambience is Ok but the food is what makes up for it.,food,approval
"otherwise, good stuff for late nite eats.",stuff,approval
"otherwise, good stuff for late nite eats.",eats,approval
"The dinner was ok, nothing I would have again.",dinner,disappointed
I love and I know gourmet food by excellence!,gourmet food,love
"I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....",bruschetta,approval
"I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....",panini,approval
"Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu.",dishes,approval
"Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu.",menu,neutral
He offers subpar service and has no personality.,service,angry
"The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.",waitress,joy
"The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.",fried mini buns with the condensed milk and the assorted fruits on beancurd,joy
Diner food at bistro prices is a bummer....,food,disappointed
Diner food at bistro prices is a bummer....,prices,disappointed
"While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.",food,approval
The portions are large and the servers always surprise us with a different starter.,portions,approval
The portions are large and the servers always surprise us with a different starter.,servers,approval
The portions are large and the servers always surprise us with a different starter.,starter,approval
"delicious bagels, especially when right out of the oven.",bagels,approval
All the food was hot tasty.,food,approval
This is one great place to eat pizza more out but not a good place for take-out pizza.,pizza,approval
This is one great place to eat pizza more out but not a good place for take-out pizza.,take-out pizza,disappointed
Our server was very helpful and friendly.,server,approval
Try green curry with vegetables.,green curry with vegetables,approval
"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",place,disappointed
"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.",door,neutral
Much more reasonably priced too!,priced,approval
"The food was not very tasty, the portioins were tiny even for such a high quality restaurant.",food,disappointed
"The food was not very tasty, the portioins were tiny even for such a high quality restaurant.",portioins,disappointed
Why make a reservation if you aren't going to keep it?,reservation,disappointed
"The Pad Thai is excellent here, as well.",Pad Thai,joy
I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.,lunch specials,disappointed
"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.",place,approval
"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.",pizzas,love
"The food is o.k., but not any better than what you get at a good neighborhood restaurant.",food,neutral
We had the pot-stickers which were great and a tempura dish that was great.,pot-stickers,approval
We had the pot-stickers which were great and a tempura dish that was great.,tempura dish,approval
I think the stuff was better than Disney.,stuff,approval
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",food,disappointed
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",atmosphere,approval
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",entree range,disappointed
"Orsay, is without a doubt one of the best values for authentic French food in NYC.",French food,love
"Well, their deliveries take for ever and the food is usually cold.",deliveries,disappointed
"Well, their deliveries take for ever and the food is usually cold.",food,disappointed
The staff is no nonsense.,staff,approval
And really large portions.,portions,approval
This is a great Thai restaurant with a very friendly staff.,staff,approval
I ordered the smoked salmon and roe appetizer and it was off flavor.,smoked salmon and roe appetizer,disgust
"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.",lunch,neutral
"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.",food,joy
"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",garlic shrimp,approval
"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",lamb,approval
"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",okra (bindi),approval
"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",waiter,neutral
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",menu,approval
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",burger,neutral
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",steak,neutral
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",escargot,neutral
"In fact, two people could really share one plate.",plate,approval
The food is great and authentic.,food,approval
Good for casual dinner with jeans and sneakers.,casual dinner,approval
"Anyway, the food is good, the price is right and they have a decent wine list.",food,approval
"Anyway, the food is good, the price is right and they have a decent wine list.",price,approval
"Anyway, the food is good, the price is right and they have a decent wine list.",wine list,approval
Prices are higher to dine in and their chicken tikka marsala is quite good.,Prices,disappointed
Prices are higher to dine in and their chicken tikka marsala is quite good.,chicken tikka marsala,approval
This place has many different styles of pizza and they are all amazing.,styles of pizza,joy
The photos of the restaurant in its web site are way better than the real look.,look,disgust
The food was lousy - too sweet or too salty and the portions tiny.,food,disgust
The food was lousy - too sweet or too salty and the portions tiny.,portions,disgust
But the coconut rice was good.,coconut rice,approval
It took them 25 minutes to bring our appetizer.,appetizer,neutral
The food was great.,food,approval
Pair you food with the excellent beers on tap or their well priced wine list.,food,neutral
Pair you food with the excellent beers on tap or their well priced wine list.,beers on tap,joy
Pair you food with the excellent beers on tap or their well priced wine list.,wine list,approval
Pair you food with the excellent beers on tap or their well priced wine list.,priced,approval
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,music,disappointed
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,bottle minimun,disgust
All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.,food,joy
Metrazur has a beautiful spot overlooking the main terminal.,spot,approval
Friendly staff that actually lets you enjoy your meal and the company you're with.,staff,approval
Friendly staff that actually lets you enjoy your meal and the company you're with.,meal,approval
The restaurant is rather small but we were lucky to get a table quickly.,table,approval
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",Quality of food,joy
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",price,approval
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",pork,approval
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",fish,approval
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",chicken,approval
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",lamb,approval
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",vegetables,approval
"The place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty.",seating,disgust
"The place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty.",place,disgust
The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,appetizing,joy
The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,price,approval
"But, they were too big for the bun.",bun,neutral
"The food is fresh, delicious, and reasonably priced.",food,approval
"The food is fresh, delicious, and reasonably priced.",priced,approval
Raga stands out with an interesting fusion of French and Indian cooking.,fusion of French and Indian cooking,joy
"A few tips: skip the turnip cake, roast pork buns and egg custards.",turnip cake,disappointed
"A few tips: skip the turnip cake, roast pork buns and egg custards.",roast pork buns,disappointed
"A few tips: skip the turnip cake, roast pork buns and egg custards.",egg custards,disappointed
The bagels are fabulous.,bagels,love
"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.",seating in the garden,neutral
"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.",seats,neutral
Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,service,disappointed
Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,place,joy
Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,water,neutral
"The food was very good, a great deal, and the place its self was great.",food,approval
"The food was very good, a great deal, and the place its self was great.",place,approval
The food options rule.,food options,approval
A great choice at any cost and a great deal.,cost,approval
"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight.",pre-theatre 3-course dinner,neutral
"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight.",wine flight,neutral
"Probably much busier for lunch, it's seldom crowded for dinner (too close to downtown).",lunch,neutral
"Probably much busier for lunch, it's seldom crowded for dinner (too close to downtown).",dinner,neutral
"Their calzones are horrific, bad, vomit-inducing, YUCK.",calzones,disgust
It takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.,drink,neutral
The place itself is beautiful the bar scene seems to be happening.,place,approval
The place itself is beautiful the bar scene seems to be happening.,bar scene,approval
"Saturday, Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us.",staff,joy
"Good spreads, great beverage selections and bagels really tasty.",spreads,approval
"Good spreads, great beverage selections and bagels really tasty.",beverage selections,approval
"Good spreads, great beverage selections and bagels really tasty.",bagels,approval
"First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them.",waiter,disappointed
"First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them.",specials,approval
"First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them.",served,disappointed
"Also, top the meal with a delicious and perfect slice of tiramisu.",tiramisu,love
"Also, top the meal with a delicious and perfect slice of tiramisu.",meal,neutral
Check out the secret back room.,secret back room,approval
"It's also attached to Angel's Share, which is a cool, more romantic bar...",bar,joy
"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.",food,approval
"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.",service,approval
Stick to the gulab jamun.,gulab jamun,approval
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",prices,approval
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",atmosphere,approval
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",service,approval
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",wine list,joy
I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,diner,neutral
I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,wait staff,disgust
I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,table,disgust
With the theater 2 blocks away we had a delicious meal in a beautiful room.,meal,approval
With the theater 2 blocks away we had a delicious meal in a beautiful room.,room,approval
"We've only eaten in the restaurant once, but we have ordered many times for dinner.",dinner,neutral
By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,pig feet ginger simmered in black vinegar,approval
By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,desserts with frog jelly,approval
The food is great and reasonably priced.,food,approval
The food is great and reasonably priced.,priced,approval
I would definitely recommend SEA if you like thai cuisine!,thai cuisine,love
"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",crew,joy
"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",host,joy
"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.",round tables,approval
"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.",Taiwanese,approval
"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",french fries,love
"It is the type of place to run into old friends and have a late, raucus dinner.",dinner,approval
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",food,approval
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",dishes,approval
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",specials,approval
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",regular menu-fare,approval
Prices are in line.,Prices,neutral
"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",fresh tomato sauce,approval
"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",fresh mozz cheese,approval
"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",basil,approval
"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",dough,approval
"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",pizza,love
"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",flour,approval
The food is prepared quickly and efficiently.,food,approval
"For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven.",Indian food,approval
"For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven.",Paneer Roll,love
The food looked very appetizing and delicious since it came on a variety of fancy plates.,food,approval
The food looked very appetizing and delicious since it came on a variety of fancy plates.,plates,approval
Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,fresh mozzerella slices,joy
Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,Plain Cheese slice,joy
"The food is terrible and overall, I would have to say avoid at all costs.",food,angry
"Unfortunately, the food was NOT something to get worked up about.",food,disgust
"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).",food,approval
I had Filet Mignon with garlic mash.,Filet Mignon with garlic mash,neutral
"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",pre-theater menu,approval
"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",roasted tomato soup with chevre,approval
"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",steak frites,approval
"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",creme brulee,approval
"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.",waitstaff,joy
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",bread,joy
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",pizza,approval
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",margarite pizza with cold prosciutto and baby arugula on top,neutral
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",salad,neutral
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",Peter's Favourite pizza with prosciutto and baby arugula,neutral
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",bruschettas,approval
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",paninis,approval
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",tramezzinis,approval
"Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.",waiters,approval
"Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.",diners,neutral
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",chef,joy
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",dishes,joy
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",cuisine,neutral
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",Indian,joy
The owner truly caters to all your needs.,owner,approval
He takes real pride in his food and his business.,food,approval
"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",meal,joy
"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",pre-theater prix-fixe,approval
"Over the years, it has always provided a pleasurable dining experience with quality food and wine.",food,approval
"Over the years, it has always provided a pleasurable dining experience with quality food and wine.",wine,approval
"Over the years, it has always provided a pleasurable dining experience with quality food and wine.",dining,joy
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",menu,approval
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",fried chicken,neutral
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",pork chop,neutral
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",noodle dishes,neutral
I cannot imagine better Indian food in all of the city.,Indian food,love
Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,privacy,approval
Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,corner booth table,approval
Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,place,joy
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,manager,disgust
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,open faced cheese sandwich,neutral
very good breads as well.,breads,approval
"if this happens, just ask for real naan.",naan,neutral
We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,squid,disgust
We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,half-price Saturday night option,love
"Pizza is terrific, as is homemade pasta.",Pizza,joy
"Pizza is terrific, as is homemade pasta.",homemade pasta,joy
This is a wonderful place on all stand points especially value ofr money.,value ofr money,joy
Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,soup,approval
Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,mushrooms,approval
There are other people waiting!,waiting,disappointed
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",beginning appetizers,joy
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",scallops,joy
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",chocolate souffle with rasberry mint sorbet,joy
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",taste,joy
Consistently good Japanese Tapas.,Japanese Tapas,approval
"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",fish,joy
"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",rice,joy
"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",seaweed,joy
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",dishes,approval
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",lamb sausages,approval
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",sardines with biscuits,approval
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",large whole shrimp,approval
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",pistachio ice cream,joy
The food is reliable and the price is moderate.,food,approval
The food is reliable and the price is moderate.,price,neutral
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambiance,approval
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",atmosphere,approval
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",food,disappointed
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",service,disappointed
The server was really cool and served us our food and drinks with a smile.,server,approval
The server was really cool and served us our food and drinks with a smile.,food,neutral
The server was really cool and served us our food and drinks with a smile.,drinks,neutral
The server was really cool and served us our food and drinks with a smile.,served,approval
We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.,food,neutral
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",sushi,approval
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",thai food,joy
"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record.",Chef,disgust
I had to share my table with a loud group of kids and the service was rude an unattentive.,service,disgust
I had to share my table with a loud group of kids and the service was rude an unattentive.,table,disgust
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,garlic,approval
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,fresh tomatoes,approval
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,sauce on the pizza,approval
"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.",outdoor seating,joy
"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",mesclun,love
"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",salmon,love
"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",ice cream,love
"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",courses,love
We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,wait,neutral
The food is usually good but it certainly isn't a relaxing place to go.,food,approval
The food is usually good but it certainly isn't a relaxing place to go.,place,disgust
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",staff,joy
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",bistro fare,love
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",chilaquiles,love
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",jazz brunch,joy
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",live jazz,approval
The prices were fantastic.,prices,love
"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",measures of liquers,approval
"The table service could have been a little more attentive but as someone who also works in the service industry, I understood they were busy.",service,neutral
"It's not mind-blowing, but to me, thai food never is and never will be.",thai food,neutral
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",Food,approval
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",pork belly,disappointed
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",fat,disappointed
"i've been to sapphire twice and both times the food was fine, if not good.",food,approval
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,tables,disappointed
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,dinner,joy
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,place,joy
I love the fact that the pizza tastes so good and is so cheap.,pizza,love
Nicky the Nose at the bar is a treat.,bar,neutral
"Service was prompt, friendly and great.",Service,joy
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",lamb chop,love
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",salads,joy
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",lemon,joy
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",extra virgnin olive oil,joy
The sushi was awful!,sushi,disgust
You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,meal,joy
You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,dishes,approval
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",Pastrami sandwich,joy
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",beer,joy
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",pickles,joy
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,plain pizza,disgust
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,truffle oil,neutral
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,wild mushroom(third generation-Fornini) pizza,approval
"Late nite omelletes are not good here, there is no variety!",omelletes,disgust
"After all that, they complained to me about the small tip.",tip,disgust
It's a great place to pick up a cheap lunch or dinner.,lunch,approval
It's a great place to pick up a cheap lunch or dinner.,dinner,approval
"Behind this counter, two men are squeezed in.",counter,disgust
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",fish,approval
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",service,approval
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",Sushi fix,approval
"Our waitress was sweet and accomodating, not overbearing.",waitress,joy
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,reservation sigh,neutral
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,table,disappointed
I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,food,disappointed
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",menu,disappointed
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",food art,love
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,joy
"A large is $20, and toppings are about $3 each.",toppings,neutral
brick oven gallery is My pick for best pizza restaurant anywhere.,pizza,love
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,approval
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,approval
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,approval
"For many people, this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic.",Thai food,disappointed
"Growing up in NY, I have eaten my share of bagels.",bagels,neutral
"Oh, don't even let me start with how expensive the bills were!",bills,angry
The scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancakes,neutral
